gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
010938,91180530,14aug2017,2017,79039,USEG,0.96200407,1.0608704,0.000733685,0.016156111,0.020561624,2017q3,,,,,,,
010938,91180530,14nov2017,2017,79039,USEG,0.98569453,0.91864544,0.008151201,-0.079139061,-0.094496235,2017q4,,,,,,,
010938,91180530,28mar2018,2018,79039,USEG,0.93388647,0.99293572,-0.051823717,0.011053842,-0.072710752,2018q1,,,,,,,
010938,91180530,14may2018,2018,79039,USEG,0.95777625,0.99144691,0.035591446,0.026064705,-0.050415743,2018q2,,,,,,,
010938,91180530,14aug2018,2018,79039,USEG,0.89442033,1.0351504,-0.20120549,-0.078455582,-0.074140422,2018q3,,,,,,,
010938,91180530,13nov2018,2018,79039,USEG,1.0451443,0.90129405,-0.11922317,-0.075123116,-0.058017701,2018q4,,,,,,,
010938,91180530,16sep2019,2019,79039,USEG,1.0217021,0.89624131,-0.1237264,-0.083607756,-0.084308483,2019q3,,,,,,,
010938,91180530,14nov2019,2019,79039,USEG,0.97111779,1.0361142,0.048376586,0.019936323,0.006188982,2019q4,,,,,,,
010938,91180530,30mar2020,2020,79039,USEG,0.91485596,1.0961931,0.058938351,-0.057089001,0.00285869,2020q1,,,,,,,
010938,91180530,14may2020,2020,79039,USEG,1.002763,1.0017099,-0.034716446,0.000895242,0.00447771,2020q2,,,,,,,
010938,91180530,14aug2020,2020,79039,USEG,0.99580717,0.98683822,-0.077489324,-0.04906233,-0.017299417,2020q3,,,,,,,
010938,91180530,16nov2020,2020,79039,USEG,0.98143572,1.0046631,0.008137506,-0.062626734,-0.013987728,2020q4,,,,,,,
010938,91180530,26mar2021,2021,79039,USEG,1.0154425,0.93859351,-0.019148268,-0.085875668,-0.046912234,2021q1,,,,,,,
010938,91180530,13may2021,2021,79039,USEG,0.90967029,0.99014646,-0.032771554,-0.06600365,-0.099293187,2021q2,,,,,,,
010938,91180530,12aug2021,2021,79039,USEG,0.9980219,0.93305367,-0.06733831,-0.046548784,-0.068792015,2021q3,,,,,,,
010938,91180530,12nov2021,2021,79039,USEG,1.0114806,1.0394925,0.046699826,0.048852012,0.051426481,2021q4,,,,,,,
010938,91180530,28mar2022,2022,79039,USEG,0.99572325,0.91531068,-0.27007803,-0.17259751,-0.088603906,2022q1,,,,,,,
010938,91180530,12may2022,2022,79039,USEG,1.0061446,0.96040636,-0.014381639,-0.007243439,-0.033692267,2022q2,,,,,,,
010938,91180530,11aug2022,2022,79039,USEG,1.0479856,1.0258785,0.04140459,0.063784763,0.075106002,2022q3,,,,,,,
010938,91180530,10nov2022,2022,79039,USEG,1.0108882,1.0032549,-0.033973712,-0.017391402,0.014178496,2022q4,,,,,,,
010938,91180530,14aug2023,2023,79039,USEG,0.87938046,0.99789214,-0.087331988,-0.1323137,-0.12247312,2023q3,,,,,,,
010938,91180530,13nov2023,2023,79039,USEG,0.96422648,1.0210246,-0.052250184,-0.026998589,-0.015501051,2023q4,,,,,,,
010938,91180530,26mar2024,2024,79039,USEG,1.0200713,0.92044872,0.10065804,0.01320962,-0.061076678,2024q1,,,,,,,
010938,91180530,09may2024,2024,79039,USEG,1.002667,0.97384399,-0.019641817,-0.014144734,-0.023558779,2024q2,,,,,,,
010938,91180530,07aug2024,2024,79039,USEG,0.95059603,0.99470603,-0.071328789,-0.07366886,-0.054436408,2024q3,,,,,,,
