gvkey,CUSIP,ticker,CIK,CoName,cik_source
61562,00797310,AEIS,927003.0,ADVANCED ENERGY INDUSTRIES INC,cusip_link
177764,87164U50,AEN,894158.0,Theriva Biologics Inc,cusip_link
30059,02553E10,AEO,919012.0,AMERICAN EAGLE OUTFITTERS INC,cusip_link
1440,02553710,AEP,4904.0,AMERICAN ELECTRIC POWER COMPANY INC,cusip_link
11903,00103110,AEPI,785787.0,AEP INDUSTRIES INC,cusip_link
40323,00774410,AERC,1872356.0,AeroClean Technologies Inc,cusip_link
25088,03819M10,AERG,879911.0,APPLIED ENERGETICS INC,cusip_link
18749,00771V10,AERI,1337553.0,AERIE PHARMACEUTICALS INC,cusip_link
24216,00130H10,AES,874761.0,AES CORPORATION,cusip_link
35552,01917010,AESE,1708341.0,Allied Gaming & Entertainment Inc,cusip_link
41981,64204510,AESI,1984060.0,Atlas Energy Solutions Inc.,ticker_fallback
38357,00835Q20,AEVA,1789029.0,"Aeva Technologies, Inc.",ticker_fallback
24428,00674340,AEY,,,not_found
17754,05073420,AEYE,1362190.0,AUDIOEYE INC,cusip_link
140757,02872310,AEZ,1120916.0,AMERICAN OIL & GAS INC,cusip_link
13800,02040910,AFAM,799231.0,ALMOST FAMILY INC,cusip_link
62990,00826T10,AFFX,913077.0,AFFYMETRIX INC,cusip_link
26343,04238R10,AFI,1655075.0,Armstrong Flooring Inc,cusip_link
36757,00511110,AFIB,1522860.0,Acutus Medical Inc,cusip_link
141236,01868030,AFOP,,,not_found
7300,90991210,AFP,,,not_found
180279,00836810,AGAM,1421419.0,AGA MEDICAL HOLDINGS INC,cusip_link
25180,00108410,AGCO,880266.0,AGCO CORP /DE,cusip_link
34469,81751A10,AGE,1708599.0,Serina Therapeutics Inc,cusip_link
129466,00847G80,AGEN,1098972.0,AGENUS INC,cusip_link
37896,00853E40,AGFY,,,not_found
39490,00857F10,AGIL,1790625.0,AgileThought Inc,cusip_link
18159,00847X10,AGIO,1439222.0,AGIOS PHARMACEUTICALS INC,cusip_link
38461,00857U10,AGL,1831097.0,agilon health inc,cusip_link
24599,00773J20,AGLE,1636282.0,Spyre Therapeutics Inc,cusip_link
15708,01849010,AGN,850693.0,ALLERGAN INC,cusip_link
26658,05351W10,AGR,1634997.0,Avangrid Inc,cusip_link
20010,00847L30,AGRX,,,not_found
31386,72814N10,AGS,1593548.0,PlayAGS Inc,cusip_link
19967,03820J10,AGTC,1273636.0,APPLIED GENETIC TECHNOLOGIES CORP,cusip_link
31954,00848J10,AGTI,1749704.0,AGILITI INC \DE,cusip_link
8832,04010E10,AGX,100591.0,ARGAN INC,cusip_link
8599,00847J10,AGYS,78749.0,AGILYSYS INC,cusip_link
183636,77634L10,AH,1910851.0,R1 RCM Inc /DE,cusip_link
179288,23505010,AHC,,,not_found
25972,01923A10,AHCI,890634.0,ALLIED HEALTHCARE INTERNATIONAL INC,cusip_link
35852,00653Q10,AHCO,1725255.0,AdaptHealth Corp,cusip_link
166363,01861G10,AHGP,1344980.0,ALLIANCE HOLDINGS GP LP,cusip_link
176361,03525N10,AHII,1372813.0,ANIMAL HEALTH HOLDINGS INC,cusip_link
24837,01922220,AHPI,874710.0,ALLIED HEALTHCARE PRODUCTS INC,cusip_link
144520,00174410,AHS,1142750.0,AMN HEALTHCARE SERVICES INC,cusip_link
37517,12468P10,AI,1577526.0,C3ai Inc,cusip_link
41133,31561T10,AIEV,1912582.0,Feutune Light Acquisition Corp,cusip_link
38070,45175Q10,AILE,1835972.0,iLearningEngines Inc,cusip_link
1173,00801530,AIM,109471.0,AEROSONIC CORP /DE/,cusip_link
176247,02208R10,AIMC,1374535.0,ALTRA INDUSTRIAL MOTION CORP,cusip_link
25077,00900T10,AIMT,1631650.0,Aimmune Therapeutics Inc,cusip_link
14084,01234810,AIN,3303.0,ALBANY INTERNATIONAL CORP /NY/,cusip_link
39805,04302A10,AIP,1667011.0,Arteris Inc,cusip_link
65570,02707010,AIPC,849667.0,AMERICAN ITALIAN PASTA CO,cusip_link
13657,01860630,AIQ,817135.0,Alliance HealthCare Services Inc,cusip_link
1004,00036110,AIR,1750.0,AAR CORP,cusip_link
43211,75607T10,AIRE,1859199.0,reAlpha Tech Corp,cusip_link
27703,00938A10,AIRG,1272842.0,AIRGAIN INC,cusip_link
166087,00912N40,AIRI,1009891.0,AIR INDUSTRIES GROUP,ticker_fallback
40295,61216010,AIRJ,1855474.0,AirJoule Technologies Corp.,ticker_fallback
13789,00912830,AIRM,816159.0,AIR METHODS CORP,cusip_link
39830,00949610,AIRS,1870940.0,Airsculpt Technologies Inc,cusip_link
1210,00920710,AIRT,353184.0,AIR T INC,cusip_link
63700,03664210,AIS,1016169.0,MEDI JECT CORP /MN/,cusip_link
38360,00894010,AISP,1842566.0,Airship AI Holdings Inc,cusip_link
2101,03820C10,AIT,109563.0,APPLIED INDUSTRIAL TECHNOLOGIES INC,cusip_link
39500,00152K20,AKA,1865107.0,A.K.A. BRANDS HOLDING CORP.,ticker_fallback
125595,00971T10,AKAM,1086222.0,AKAMAI TECHNOLOGIES INC,cusip_link
19718,00444910,AKAO,1301501.0,ACHAOGEN INC,cusip_link
19859,00972D10,AKBA,1517022.0,Akebia Therapeutics Inc,cusip_link
32046,00972L10,AKCA,1662524.0,AKCEA THERAPEUTICS INC,cusip_link
38945,00974B10,AKLI,1850266.0,Akili Inc,cusip_link
35267,00973Y10,AKRO,1744659.0,Akero Therapeutics Inc,cusip_link
14304,00972810,AKRX,3116.0,AKORN INC,cusip_link
29968,00154710,AKS,918160.0,AK STEEL HOLDING CORP,cusip_link
21042,00973N10,AKTS,1584754.0,Akoustis Technologies Inc,cusip_link
32852,01021X10,AKU,1776197.0,AKUMIN INC,cusip_link
36572,00973J10,AKUS,1722271.0,Akouos Inc,cusip_link
38527,00974H10,AKYA,1711933.0,Akoya Biosciences Inc,cusip_link
186278,00912X30,AL,,,not_found
45094,04626A10,ALAB,1736297.0,Astera Labs Inc,cusip_link
1228,01161270,ALAN,98618.0,ALANCO TECHNOLOGIES INC,cusip_link
29751,01265310,ALB,915913.0,ALBEMARLE CORP,cusip_link
29018,01345P10,ALBO,1322505.0,ALBIREO PHARMA INC,cusip_link
31037,04544X30,ALC,929994.0,ASSISTED LIVING CONCEPTS INC,cusip_link
1266,01623010,ALCO,3545.0,ALICO INC,cusip_link
20033,01433910,ALDR,1423824.0,ALDER BIOPHARMACEUTICALS INC,cusip_link
15235,02052T10,ALDW,1556766.0,ALON USA PARTNERS LP,cusip_link
20018,01438T10,ALDX,1341235.0,Aldeyra Therapeutics Inc,cusip_link
7437,01852230,ALE,66756.0,ALLETE INC,cusip_link
34616,01444210,ALEC,1653087.0,Alector Inc,cusip_link
1254,57686G10,ALEX,3453.0,MATSON INC,cusip_link
37781,00161P10,ALF,2010930.0,Centurion Acquisition Corp.,ticker_fallback
27960,01131110,ALG,897077.0,ALAMO GROUP INC,cusip_link
37309,01749D10,ALGM,866291.0,ALLEGRO MICROSYSTEMS INC,cusip_link
141384,01625510,ALGN,1097149.0,ALIGN TECHNOLOGY INC,cusip_link
37084,01626L20,ALGS,1799448.0,Aligos Therapeutics Inc,cusip_link
175007,01748X10,ALGT,1362468.0,ALLEGIANT TRAVEL CO,cusip_link
