gvkey,CUSIP,earningsdate,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq
14359,72378710,2019-11-04,75241,PXD,0.06287280000000006,-0.0003973200000000343,0.093824565,0.090810508,0.062450521,2019q4
14359,72378710,2020-02-19,75241,PXD,0.036204899999999984,0.012238299999999924,0.018508544,0.023277281,0.048886266,2020q1
14359,72378710,2020-05-06,75241,PXD,-0.0020272700000000254,0.05010200000000009,-0.016629081,0.031498201,0.047973178,2020q2
14359,72378710,2020-08-04,75241,PXD,0.012642700000000007,0.02392470000000002,0.049006879,0.03769974,0.036869992,2020q3
14359,72378710,2020-11-04,75241,PXD,-0.0037729699999999866,-0.06801968999999997,-0.005161254,-0.095741585,-0.071536027,2020q4
14359,72378710,2021-02-23,75241,PXD,0.04265260000000004,0.021888600000000036,0.14271598,0.119743,0.065474868,2021q1
14359,72378710,2021-05-04,75241,PXD,0.007113200000000042,0.037223000000000006,0.083533198,0.07525745,0.044600938,2021q2
14359,72378710,2021-08-02,75241,PXD,-0.019424620000000004,0.07160260000000007,0.029692395,0.044556264,0.050787188,2021q3
14359,72378710,2021-11-03,75241,PXD,-0.00684315000000002,-0.02407539000000003,-0.036016822,-0.033491783,-0.030753782,2021q4
14359,72378710,2022-02-16,75241,PXD,0.014747899999999925,0.05562439999999991,0.01803053,0.029032795,0.071192563,2022q1
14359,72378710,2022-05-04,75241,PXD,0.009276000000000062,0.05091789999999996,0.08856529,0.090596847,0.060666222,2022q2
14359,72378710,2022-08-02,75241,PXD,0.004410900000000106,-0.046692069999999974,-0.090185858,-0.076187536,-0.042487141,2022q3
14359,72378710,2022-10-27,75241,PXD,0.005457499999999893,-0.05336803000000001,-0.050036926,-0.041475505,-0.04820177,2022q4
14359,72378710,2023-02-22,75241,PXD,-0.0026465100000000463,-0.005894300000000019,-0.010404023,-0.002572378,-0.008525176,2023q1
14359,72378710,2023-04-26,75241,PXD,0.0042704000000000075,-0.06079917999999995,-0.049458854,-0.06096366,-0.056788389,2023q2
14359,72378710,2023-08-01,75241,PXD,-0.0007162699999999633,0.028894799999999998,0.070030712,0.035342798,0.028157828,2023q3
14359,72378710,2023-11-02,75241,PXD,0.013344299999999976,-0.020440459999999994,-0.058156714,-0.021634839,-0.007368943,2023q4
14359,72378710,2024-02-22,75241,PXD,-0.017662999999999984,-0.006843390000000005,0.00016083,-0.004953769,-0.024385501,2024q1
14359,72378710,2024-05-02,75241,PXD,-0.002855420000000053,,,,,2024q2
5327,71903M20,2010-05-12,75897,PXG,0.10640859999999996,0.010837399999999997,0.036551412,0.015697509,0.11839928,2010q2
5327,71903M20,2010-08-12,75897,PXG,0.016234400000000093,-0.011060830000000021,0.05049219,0.034369782,0.004993951,2010q3
5327,71903M20,2010-11-16,75897,PXG,-0.12600756000000002,-0.08495533,0.22188689,-0.073614515,-0.20025787,2010q4
36789,70424C20,2022-09-30,23269,PXMD,-0.008111479999999949,-0.08377009999999996,-0.052435234,-0.097421393,-0.09120205,2022q3
36789,70424C20,2023-03-30,23269,PXMD,-0.07945137999999996,-0.11790084999999995,-0.053832665,-0.13438363,-0.18798485,2023q1
36789,70424C20,2023-05-15,23269,PXMD,0.02525810000000006,-0.05659955999999999,-0.11174256,0.031503174,-0.03277107,2023q2
36789,70424C20,2023-08-09,23269,PXMD,0.006610900000000086,6.159999999999499e-05,0.055016916,0.050562397,0.006672876,2023q3
36789,70424C20,2023-11-16,23269,PXMD,-0.16412401,-0.13699311000000003,-0.63616347,-0.19693632,-0.27863327,2023q4
36789,70424C20,2024-03-11,23269,PXMD,0.07873379999999996,-0.06290245000000005,-0.04062118,0.007610537,0.010878821,2024q1
38707,70435P10,2021-08-31,21600,PYCR,-0.021423280000000045,-0.015246450000000022,-0.059783582,-0.035677552,-0.036343131,2021q3
38707,70435P10,2021-11-09,21600,PYCR,-0.009401439999999983,-0.034970100000000004,-0.092749037,-0.047576543,-0.044042781,2021q4
38707,70435P10,2022-02-03,21600,PYCR,-0.024522840000000046,0.03424120000000008,0.040607028,0.027616924,0.008878628,2022q1
38707,70435P10,2022-05-05,21600,PYCR,0.00897429999999999,-0.06595916000000002,-0.030422898,0.000555021,-0.057576817,2022q2
38707,70435P10,2022-08-23,21600,PYCR,0.015754499999999894,-0.021027569999999995,-0.029241957,0.001730064,-0.005604347,2022q3
38707,70435P10,2022-11-02,21600,PYCR,-0.03236335999999995,-0.013956370000000051,-0.15331194,-0.081977449,-0.045868006,2022q4
38707,70435P10,2023-02-08,21600,PYCR,-0.029141010000000023,0.06343290000000001,0.015056547,0.028338363,0.032443497,2023q1
38707,70435P10,2023-05-10,21600,PYCR,0.008814099999999936,-0.07165467999999997,-0.047090709,-0.068072215,-0.063472174,2023q2
38707,70435P10,2023-08-16,21600,PYCR,0.003970999999999947,-0.03358167000000001,0.00885615,-0.022520838,-0.029743997,2023q3
38707,70435P10,2023-11-08,21600,PYCR,-0.0062668299999999455,0.05269989999999991,0.10795356,0.067454241,0.046102863,2023q4
38707,70435P10,2024-02-07,21600,PYCR,-0.027275260000000023,0.043065300000000084,0.042105254,0.041277967,0.014615422,2024q1
38707,70435P10,2024-05-08,21600,PYCR,-0.022961679999999984,-0.16245145000000005,-0.21229267,-0.17832258,-0.18168293,2024q2
38707,70435P10,2024-08-14,21600,PYCR,0.023532399999999898,0.0783836,0.12004149,0.097800381,0.10376056,2024q3
38707,70435P10,2024-11-06,21600,PYCR,0.004452200000000017,0.0192485,0.056733202,0.042787146,0.023786366,2024q4
24616,70450Y10,2015-07-29,15488,PYPL,0.0017312000000000438,0.012372300000000003,0.065357544,0.035410833,0.014124763,2015q3
24616,70450Y10,2015-10-28,15488,PYPL,0.0024815000000000254,-0.01448548000000005,4.39289e-05,-0.021155218,-0.012039905,2015q4
24616,70450Y10,2016-01-27,15488,PYPL,-0.001340090000000016,0.07885220000000004,0.13999096,0.077373676,0.077406392,2016q1
